Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,LogReturns
1711929600000,4.5773,4.6254,4.4941,4.5644,2509926.81,1711933199999,11410500.243605,33213,1154093.23,5252356.088569,0.0
1711933200000,4.565,4.6499,4.5382,4.5774,1654470.0,1711936799999,7605741.372682,22466,900841.62,4142921.199581,0.002844080763713962
1711936800000,4.5769,4.6,4.4336,4.4786,2437210.57,1711940399999,10966137.631486,31243,1208248.03,5437820.143866,-0.021820653753507682
1711940400000,4.4787,4.5141,4.4444,4.4457,1936742.07,1711943999999,8686820.619304,24498,1025743.72,4601902.0984,-0.007373160706488418
1711944000000,4.4456,4.5076,4.4349,4.4851,1859596.24,1711947599999,8307091.114732,24077,938646.87,4193800.768811,0.00882345492412539
1711947600000,4.4846,4.4867,4.2175,4.4317,4781563.25,1711951199999,20976789.973647,52842,2037493.47,8934422.385422,-0.011977534182973764
1711951200000,4.4318,4.4739,4.3292,4.3553,4268692.43,1711954799999,18765877.920605,49701,1919230.61,8439913.804118,-0.01738976335380281
1711954800000,4.3561,4.4457,4.3549,4.392,2015713.15,1711958399999,8872741.254028,24808,1073697.37,4728101.196912,0.008391209937775212
1711958400000,4.3922,4.4948,4.3352,4.4729,3085940.31,1711961999999,13648284.035926,40583,1528482.13,6764148.075169,0.018252263633189707
1711962000000,4.4739,4.4796,4.403,4.4086,1651259.26,1711965599999,7352591.726128,21675,896171.27,3991843.322506,-0.014479789100318859
1711965600000,4.4078,4.4283,4.3451,4.3698,1712350.11,1711969199999,7507278.186779,18844,922095.03,4043335.724877,-0.008839937270313146
1711969200000,4.37,4.4042,4.2774,4.3347,2102216.7,1711972799999,9120006.849031,23982,910676.18,3952145.350484,-0.008064837784249216
1711972800000,4.3341,4.4794,4.3116,4.4747,2815137.05,1711976399999,12333456.497704,36004,1390542.78,6102759.910431,0.03178690668791408
1711976400000,4.4735,4.4735,4.3151,4.341,3377881.35,1711979999999,14865150.077327,38964,1405486.09,6181000.959003,-0.030334574055995704
1711980000000,4.3396,4.3425,4.0286,4.062,8084260.53,1711983599999,33518834.03382,94425,3309006.27,13691515.051375,-0.06642927315926352
1711983600000,4.0614,4.1207,3.9616,4.0063,5594814.64,1711987199999,22640575.163268,71247,2698016.08,10925121.999232,-0.013807341050010594
1711987200000,4.0073,4.1834,3.9905,4.1359,4977642.01,1711990799999,20489390.567776,56118,2650159.1,10907211.663263,0.031836836855944496
1711990800000,4.1354,4.1543,4.0726,4.137,2182201.4,1711994399999,8981296.608441,29708,1043322.21,4295534.632184,0.0002659285151474013
1711994400000,4.1371,4.3633,4.0635,4.2879,6083617.6,1711997999999,25652706.760445,62093,3684631.0,15534900.14839,0.035826215121767695
1711998000000,4.288,4.3629,4.2355,4.3289,2792267.96,1712001599999,12014307.77959,34338,1557215.67,6704206.7716,0.009516365568891804
1712001600000,4.3292,4.3636,4.2412,4.2764,1955684.88,1712005199999,8388238.836785,23445,1082113.69,4644663.219511,-0.012201934012726127
1712005200000,4.2774,4.3593,4.2022,4.2775,2363362.26,1712008799999,10093822.538507,24817,1411350.18,6036028.734213,0.0002571926270037666
1712008800000,4.2784,4.2842,4.2209,4.2426,1483249.62,1712012399999,6309094.089625,17486,706853.22,3007501.31903,-0.008192437928098248
1712012400000,4.2438,4.3259,4.22,4.221,1620703.59,1712015999999,6916988.046761,21949,816598.99,3486573.234449,-0.005104222055751414
1712016000000,4.2206,4.2466,4.0424,4.0574,3731718.94,1712019599999,15384181.777158,39520,1649388.69,6806888.914925,-0.039529692415269574
1712019600000,4.0572,4.1483,4.0514,4.1048,2599973.28,1712023199999,10660038.044434,31966,1580949.01,6483331.885569,0.011614646260525902
1712023200000,4.1048,4.1101,3.8116,3.9378,5926041.02,1712026799999,23456477.295193,69741,2760685.64,10931225.918991,-0.04153482892002293
1712026800000,3.9361,3.9968,3.8002,3.8315,5562786.73,1712030399999,21594111.877579,59600,2629766.09,10211419.178996,-0.027365820297273084
1712030400000,3.831,3.9576,3.7966,3.9099,3864564.21,1712033999999,14950011.257259,41103,1827354.41,7081566.088777,0.02025542679432463
1712034000000,3.9095,3.9246,3.7953,3.9119,3064523.31,1712037599999,11840781.935193,32974,1502977.24,5809862.234752,0.0005113912510130796
1712037600000,3.9132,4.0397,3.9076,3.9427,4251598.74,1712041199999,16908593.173891,39121,2376494.81,9450932.48009,0.007842578327432907
1712041200000,3.9428,3.9674,3.7837,3.8369,2892405.87,1712044799999,11207793.759878,30256,1241278.8,4809809.078512,-0.02720101890352372
1712044800000,3.8382,3.8965,3.7135,3.7223,4022030.84,1712048399999,15253971.057579,39702,1903606.04,7225229.009828,-0.03032299209868798
1712048400000,3.7223,3.8387,3.6599,3.7873,3699359.78,1712051999999,13904851.139528,44937,1767014.18,6650290.946457,0.017311607361830482
1712052000000,3.7864,3.7881,3.68,3.7536,2829087.32,1712055599999,10555877.833773,40195,1332389.67,4975502.590513,-0.0089379846836923
1712055600000,3.7535,3.8499,3.7243,3.8422,4538322.58,1712059199999,17242520.788987,47399,2613686.07,9935477.807285,0.023329739735185935
1712059200000,3.8422,3.9394,3.8078,3.8535,4805408.63,1712062799999,18594514.621603,46230,2860486.31,11073742.459375,0.0029367070237056162
1712062800000,3.8535,3.9216,3.6722,3.8988,5984797.53,1712066399999,22680324.163992,59600,3004304.16,11387448.139588,0.011686987245007
1712066400000,3.897,4.09,3.8531,3.9507,7099127.69,1712069999999,28219620.371113,76696,3678014.17,14623091.851476,0.013223964921229233
1712070000000,3.9498,4.0398,3.8508,3.8698,4258723.02,1712073599999,16909021.462491,42767,2221296.41,8832705.013833,-0.02068995228245574
1712073600000,3.8697,4.1392,3.8461,4.108,5133629.41,1712077199999,20525867.247922,63897,2745943.4,10998630.774816,0.059733465946620386
1712077200000,4.1068,4.15,3.9178,4.0108,4099797.42,1712080799999,16518201.183117,55039,2105914.71,8493139.308979,-0.023945569398678524
1712080800000,4.0119,4.0934,3.9405,4.0583,2636479.13,1712084399999,10600926.1736,36393,1453686.59,5845935.75864,0.011773444046817953
1712084400000,4.0584,4.11,4.0074,4.0535,1671982.55,1712087999999,6785342.232282,26808,822320.52,3338844.584365,-0.00118346126882626
1712088000000,4.0534,4.0692,3.9428,3.9641,1920104.2,1712091599999,7687608.09465,26789,747813.71,2997484.29601,-0.022301862252689125
1712091600000,3.9634,3.9869,3.8758,3.9272,1518950.26,1712095199999,5949045.471503,19668,710241.35,2782158.343992,-0.00935213943122993
1712095200000,3.9269,3.9793,3.9117,3.9504,1010012.18,1712098799999,3983307.516982,15307,509693.11,2010978.248096,0.0058901358470724195
1712098800000,3.9504,3.9512,3.82,3.8471,1430531.48,1712102399999,5538339.890739,18201,630354.22,2442204.710337,-0.02649722189520723
1712102400000,3.8463,3.8872,3.6,3.7116,6323747.57,1712105999999,23581565.683806,56513,2565359.8,9563859.98059,-0.03585656721668365
1712106000000,3.7118,3.9158,3.64,3.9153,4537473.54,1712109599999,17084823.249462,45778,2391267.66,9023027.07011,0.05342890436256748
1712109600000,3.9153,4.1389,3.9142,4.0408,5360361.74,1712113199999,21594390.831799,58473,3081863.96,12424263.35389,0.03155073731225113
1712113200000,4.04,4.0815,3.9696,4.0359,4153449.95,1712116799999,16702887.682716,36744,2196584.92,8838113.485446,-0.0012133669942358972
1712116800000,4.0333,4.1098,3.9631,4.0853,3039865.33,1712120399999,12248003.812007,32098,1725579.31,6959622.578758,0.012165839850439493
1712120400000,4.0851,4.0972,4.0065,4.0461,1937007.29,1712123999999,7843479.997669,25360,1066244.36,4318214.227616,-0.00964171081912472
